資料時間,工單編號,產品編號,產品名稱,週期時間(秒),關模時間(秒),開模時間(秒),射出時間(秒),保壓時間(秒),加料時間(秒),延遲加料時間(秒),射出系統壓力峰值(bar),模穴壓力峰值(1)(bar),VP切換響應位置(mm),保壓完位置(mm),加料完位置(mm),殘量容積(cm3),射出速度峰值(mm/s),機台油溫(℃),第一段料溫(℃),第二段料溫(℃),第三段料溫(℃),第四段料溫(℃),第五段料溫(℃),第六段料溫(℃),重量(1),重量(2),NG
2019/6/6 23:59,19040103,,G4812,42.91,5.99,3.59,2.62,3,18.79,0.5,1079.91,0,14.98,5.35,119.97,23.65,122.34,37.2,243.8,234.7,230,223.1,208.3,184.7,0,0,0
2019/6/6 23:58,19040103,,G4812,42.88,5.98,3.58,2.62,3,18.79,0.5,1080.29,0,14.98,5.38,120.04,23.76,122.52,37.2,243.7,235,229.9,223.2,208.3,184.8,0,0,0
2019/6/6 23:58,19040103,,G4812,42.85,5.98,3.58,2.62,3,18.77,0.5,1070.28,0,14.98,5.33,120,23.54,122.76,37.2,242.1,235.2,229.8,223.2,208.3,184.9,0,0,0
2019/6/6 23:57,19040103,,G4812,42.92,5.98,3.59,2.62,3,18.79,0.5,1072.13,0,14.98,5.38,120,23.76,122.37,37.1,239.1,234.9,230,223,208.4,185,0,0,0
2019/6/6 23:56,19040103,,G4812,42.86,5.97,3.58,2.62,3,18.81,0.5,1075.28,0,14.98,5.35,120.07,23.65,122.11,37.1,239.1,234.8,229.9,223,208.2,185,0,0,0
2019/6/6 23:55,19040103,,G4812,42.9,5.98,3.59,2.62,3,18.76,0.5,1078.43,0,14.98,5.4,120.02,23.86,122.95,37.3,239.3,235.1,230.1,222.8,208.2,185.1,0,0,0
2019/6/6 23:55,19040103,,G4812,42.89,5.94,3.59,2.61,3,18.78,0.5,1079.91,0,14.98,5.31,120.04,23.44,122.42,37.2,239.6,235.4,230.1,223,208.3,185.2,0,0,0
2019/6/6 23:54,19040103,,G4812,42.89,5.95,3.59,2.62,3,18.77,0.5,1073.8,0,14.98,5.35,120.02,23.65,122.03,37.1,240.2,235.4,230.3,222.9,208.3,185.2,0,0,0
2019/6/6 23:53,19040103,,G4812,42.83,5.94,3.58,2.62,3,18.8,0.5,1086.59,0,14.98,5.4,120.04,23.86,122.65,37.1,240.4,235,230.2,222.8,208.3,185.2,0,0,0
2019/6/6 23:53,19040103,,G4812,42.88,5.99,3.58,2.62,3,18.77,0.5,1069.54,0,14.98,5.43,120.02,23.97,122.6,37.1,240.9,235,230.2,222.8,208.3,185.1,0,0,0
2019/6/6 23:52,19040103,,G4812,42.88,5.99,3.59,2.61,3,18.88,0.5,1078.62,0,14.98,5.33,120.02,23.54,122.24,37.2,241.1,234.6,230.2,222.7,208.2,184.9,0,0,0
2019/6/6 23:51,19040103,,G4812,42.95,5.99,3.59,2.62,3,18.81,0.5,1078.62,0,14.98,5.38,120.02,23.76,122.13,37.2,241.7,234.7,230,222.8,208.2,185,0,0,0
2019/6/6 23:50,19040103,,G4812,42.91,5.99,3.59,2.61,3,18.8,0.5,1073.8,0,14.98,5.4,120.04,23.86,122.19,37.1,242.4,234.8,230.1,222.8,208.3,185.1,0,0,0
2019/6/6 23:50,19040103,,G4812,42.87,5.98,3.59,2.62,3,18.82,0.5,1077.13,0,14.98,5.35,120.07,23.65,122.31,37.1,243.3,234.9,230.3,222.8,208.2,185,0,0,0
2019/6/6 23:49,19040103,,G4812,42.88,5.98,3.59,2.62,3,18.76,0.5,1074.91,0,14.98,5.35,120.02,23.65,122.7,37.1,243.9,235.1,230.3,222.9,208.1,185,0,0,0
2019/6/6 23:48,19040103,,G4812,42.89,5.97,3.59,2.61,3,18.76,0.5,1081.95,0,14.98,5.38,120.04,23.76,122.11,37.2,242.4,235.4,230.3,223,208.1,185,0,0,0
2019/6/6 23:48,19040103,,G4812,42.88,5.98,3.59,2.62,3,18.79,0.5,1076.95,0,14.98,5.33,120.04,23.54,122.26,37.2,239.1,234.9,230.2,222.9,208.2,184.9,0,0,0
2019/6/6 23:47,19040103,,G4812,42.9,5.98,3.59,2.62,3,18.74,0.5,1070.46,0,14.98,5.38,120.02,23.76,122.6,37.1,239.1,234.9,230.3,222.9,208.2,185,0,0,0
